Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Corey Perry,TB,RW,49,9,12,21,-4,39,62,1,1,6,0,0,56,15
Erik Haula,BOS,C,51,9,12,21,4,14,85,2,1,2,2,0,63,23
Jaden Schwartz,SEA,LW,40,8,13,21,2,20,71,1,1,2,0,0,40,26
Kailer Yamamoto,EDM,LW,52,8,13,21,9,26,69,0,1,1,0,1,52,40
Matt Dumba,MIN,D,51,6,15,21,1,46,89,1,1,4,0,0,74,75
Tyler Myers,VAN,D,55,6,15,21,-8,51,109,3,0,3,1,1,61,74
Rasmus Andersson,CGY,D,56,5,16,21,-9,34,96,0,1,5,0,0,49,68
Josh Morrissey,WPG,D,56,4,17,21,-1,25,116,0,1,8,0,0,78,86
Damon Severson,NJ,D,56,3,18,21,-8,29,91,0,0,4,0,1,57,50
Evgenii Dadonov,VGK,RW,55,13,7,20,-9,4,89,3,0,1,0,0,38,26
Daniel Sprong,SEA,RW,42,13,7,20,7,12,74,3,0,0,0,0,28,1
Adam Erne,DET,RW,45,11,9,20,-1,26,71,0,3,3,0,0,82,16
Warren Foegele,EDM,LW,53,10,10,20,4,20,91,1,0,0,0,0,60,12
Scott Laughton,PHI,C,53,9,11,20,13,39,89,1,0,0,1,0,141,34
Shayne Gostisbehere,ARI,D,41,9,11,20,-2,6,85,0,5,4,0,0,18,47
Derick Brassard,EDM,C,53,8,12,20,-10,12,67,1,4,2,0,0,80,5
Travis Zajac,FA,C,46,8,12,20,-1,6,50,2,0,1,0,0,51,22
Troy Terry,ANH,C,48,7,13,20,-1,18,69,0,0,0,0,0,5,13
Nick Foligno,BOS,LW,49,7,13,20,2,32,81,0,1,1,0,3,133,37
Zach Werenski,CLS,D,35,7,13,20,-9,13,79,1,0,5,0,0,21,39
Ryan Donato,SEA,C,50,6,14,20,-11,10,104,1,2,4,0,0,50,21
Barclay Goodrow,NYR,LW,55,6,14,20,16,52,72,1,0,0,0,0,111,27
Vince Dunn,SEA,D,43,6,14,20,-8,18,73,0,2,5,0,0,36,51
Jesperi Kotkaniemi,CAR,LW,56,5,15,20,-1,12,87,1,0,4,0,0,84,27
Joe Thornton,FLA,C,44,5,15,20,6,14,42,0,0,5,0,0,32,10
Matt Grzelcyk,BOS,D,37,5,15,20,11,22,80,1,1,6,0,0,19,34
Nick Paul,TB,LW,56,5,15,20,5,19,105,0,0,2,1,3,74,35
Justin Holl,TOR,D,55,2,18,20,16,25,57,1,0,0,0,1,82,84
Anders Lee,NYI,C,27,12,7,19,11,12,80,3,3,1,0,0,39,13
Mathieu Joseph,OTT,RW,56,12,7,19,3,10,59,2,1,1,0,0,82,15
Luke Kunin,NSH,C,38,10,9,19,3,13,71,2,0,0,0,0,84,20
Mathieu Perreault,MON,C,56,9,10,19,6,16,57,0,2,2,0,0,84,18
Chris Tierney,OTT,C,55,6,13,19,-12,8,53,3,0,0,0,1,23,32
Shea Weber,MON,D,48,6,13,19,-4,33,104,1,4,7,0,0,70,68
Jesper Fast,CAR,RW,46,6,13,19,-4,14,38,1,1,3,0,0,78,23
Filip Zadina,DET,RW,49,6,13,19,-4,0,97,1,3,3,0,0,22,22
P.K. Subban,NJ,D,44,5,14,19,-16,26,99,0,2,3,0,0,41,46
Ryan Suter,DAL,D,56,3,16,19,9,12,86,0,1,5,0,0,38,65
Brenden Dillon,WPG,D,56,2,17,19,15,49,51,0,0,1,0,1,143,61
Robby Fabbri,DET,LW,30,10,8,18,3,16,58,5,0,2,0,0,34,17
Colin White,OTT,C,45,10,8,18,-6,16,69,0,2,2,0,0,58,18
J.T. Compher,COL,C,48,10,8,18,10,19,47,2,1,1,0,0,32,38
Tanner Pearson,VAN,LW,51,10,8,18,-15,26,110,2,2,1,0,1,54,28
Jason Zucker,PIT,LW,38,9,9,18,-8,21,67,1,1,3,0,0,69,15
Tomas Nosek,BOS,LW,38,8,10,18,7,10,59,2,0,1,0,0,51,18
Eric Robinson,CLS,LW,56,8,10,18,6,4,75,2,0,0,1,0,94,16
Owen Tippett,PHI,RW,45,7,11,18,-5,6,86,2,2,1,0,0,59,5
Zach Parise,NYI,LW,45,7,11,18,7,6,90,3,0,2,0,0,18,20
Brandon Montour,FLA,D,50,7,11,18,-5,40,94,0,0,1,2,0,54,62
Garnet Hathaway,WAS,RW,56,6,12,18,7,66,62,0,0,0,0,1,179,30
Sean Walker,LA,D,47,5,13,18,-13,18,92,0,0,1,0,0,43,72
Nick Cousins,NSH,C,52,5,13,18,4,41,60,1,0,4,0,0,48,16
Ryan Ellis,PHI,D,35,5,13,18,1,10,75,0,2,2,0,0,21,63
Erik Cernak,TB,D,46,5,13,18,8,38,85,0,0,0,0,0,98,46
Rasmus Ristolainen,PHI,D,49,4,14,18,-18,36,73,0,1,6,0,0,193,68
Patrick Maroon,TB,LW,55,4,14,18,2,60,46,0,2,2,0,0,75,6
Jack Eichel,VGK,C,21,2,16,18,-9,6,61,1,1,8,0,0,20,15
Nico Sturm,COL,C,50,11,6,17,10,17,64,2,0,0,0,0,48,26
Kaapo Kakko,NYR,RW,48,9,8,17,3,10,81,0,2,1,0,0,14,16
Dylan Strome,CHI,C,40,9,8,17,-16,14,71,1,4,3,0,0,8,19
Vladislav Namestnikov,DAL,C,53,8,9,17,-5,24,87,0,0,0,0,0,71,35
Boone Jenner,CLS,LW,41,8,9,17,-9,6,79,0,1,0,1,0,76,53
Rudolfs Balcers,SJ,LW,41,8,9,17,-6,16,66,2,0,1,0,0,81,29
Tyson Jost,MIN,C,54,7,10,17,14,24,92,1,0,0,0,0,45,19
Ilya Mikheyev,TOR,RW,54,7,10,17,5,6,107,2,0,0,0,1,49,28
Carl Soderberg,FA,C,45,7,10,17,-5,18,61,1,4,1,0,1,66,36
Nick Bjugstad,MIN,C,44,6,11,17,7,17,78,3,0,1,0,0,48,22
Nicolas Hague,VGK,D,52,5,12,17,14,31,78,0,0,0,0,0,94,65
Ryan Getzlaf,ANH,C,48,5,12,17,-14,43,70,1,3,1,0,0,66,46
Tyler Bozak,STL,C,31,5,12,17,-3,10,35,0,1,3,2,1,17,20
Gustav Forsling,FLA,D,43,5,12,17,17,8,94,0,1,3,0,0,30,42
