Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Aatu Raty,VAN,F,15,2,1,3,0.2,11.0,0.7,0,0,16,19,5
Matt Luff,DET,F,19,2,2,4,0.21,14.7,0.7,0,0,20,22,9
Justin Holl,DET,D,80,2,16,18,0.23,110.6,1.4,0,0,60,151,139
Gavin Bayreuther,DAL,D,51,2,12,14,0.27,63.5,1.2,1,0,61,54,71
Josh Manson,COL,D,27,2,8,10,0.37,43.0,1.6,0,0,41,64,41
Jonathan Drouin,COL,F,58,2,27,29,0.5,56.8,1.0,9,0,69,29,23
Zac Dalpe,FLA,F,14,2,2,4,0.29,12.2,0.9,0,0,17,15,6
Oliver Ekman-Larsson,FLA,D,54,2,20,22,0.41,62.8,1.1,4,1,90,58,43
Rasmus Asplund,FLA,F,46,2,6,8,0.17,23.7,0.5,0,1,54,23,11
Daniil Miromanov,VGK,D,14,2,4,6,0.43,18.9,1.3,3,0,22,7,13
Jon Merrill,MIN,D,73,2,10,12,0.16,76.5,1.0,0,0,43,47,107
Alex Goligoski,MIN,D,46,2,4,6,0.13,51.6,1.1,1,0,63,33,67
Jake Evans,MON,F,54,2,17,19,0.35,51.2,0.9,1,2,55,27,41
Ryan McDonagh,NSH,D,71,2,18,20,0.28,118.6,1.7,0,0,78,63,165
Michael McCarron,NSH,F,32,2,2,4,0.12,27.9,0.8,0,1,39,75,20
Alexandre Carrier,NSH,D,43,2,7,9,0.21,55.0,1.3,0,0,48,57,67
Dante Fabbro,NSH,D,79,2,9,11,0.14,99.4,1.3,1,0,101,113,129
Jack Johnson,COL,D,83,2,6,8,0.1,95.4,1.1,0,2,92,117,127
Colin Blackwell,CHI,F,53,2,8,10,0.19,31.2,0.6,0,1,53,49,17
Jarred Tinordi,CHI,D,44,2,6,8,0.18,61.1,1.4,0,0,32,139,68
Zach Sanford,CHI,F,16,2,1,3,0.19,19.6,1.2,0,0,20,21,21
Jordan Oesterle,CGY,D,52,2,9,11,0.21,56.5,1.1,0,0,54,41,68
Brendan Lemieux,CAR,F,45,2,7,9,0.2,36.0,0.8,0,0,44,131,15
Jack Drury,CAR,F,38,2,6,8,0.21,26.6,0.7,1,0,69,12,16
Mattias Samuelsson,BUF,D,55,2,8,10,0.18,76.3,1.4,0,1,76,107,91
Jayson Megna,BOS,F,55,2,6,8,0.15,29.8,0.5,0,0,36,47,23
Robert Hagg,ANH,D,38,2,5,7,0.18,47.6,1.2,0,0,40,111,47
Ilya Lyubushkin,ANH,D,68,2,12,14,0.21,83.0,1.2,0,2,41,99,104
Anders Bjork,FA,F,14,2,6,8,0.57,14.3,1.0,0,0,15,8,4
Radko Gudas,ANH,D,72,2,15,17,0.24,123.2,1.7,0,0,110,312,124
Nick Holden,FA,D,65,2,14,16,0.25,68.2,1.0,0,1,73,79,69
Alexander Edler,FA,D,64,2,9,11,0.17,81.2,1.3,0,0,56,106,104
Patric Hornqvist,FA,F,22,1,2,3,0.14,14.3,0.6,1,0,40,18,8
Lawrence Pilut,FA,D,17,1,2,3,0.18,14.0,0.8,0,0,14,6,16
Gustav Lindstrom,ANH,D,36,1,7,8,0.22,31.7,0.9,0,0,18,39,34
Pavol Regenda,ANH,F,14,1,2,3,0.21,13.0,0.9,0,0,17,8,13
Jakub Voracek,ARI,F,11,1,5,6,0.55,12.9,1.1,1,0,17,2,7
Jakub Zboril,BOS,D,22,1,3,4,0.18,18.9,0.8,0,0,13,31,19
Jacob Bryson,BUF,D,59,1,8,9,0.15,51.1,0.9,0,1,27,34,69
Riley Stillman,BUF,D,50,1,7,8,0.16,42.8,0.8,0,0,37,81,44
Ian Mitchell,BOS,D,35,1,7,8,0.23,32.1,0.9,1,0,25,16,37
Chris Tanev,CGY,D,65,1,12,13,0.2,92.1,1.4,1,0,75,51,130
Dennis Gilbert,CGY,D,23,1,3,4,0.17,24.8,1.0,0,0,13,55,26
Jaycob Megna,CHI,D,54,1,11,12,0.22,60.7,1.1,0,1,56,86,66
Nikita Zaitsev,CHI,D,46,1,7,8,0.17,56.5,1.2,0,0,20,95,72
Isaak Phillips,CHI,D,16,1,4,5,0.31,13.3,0.8,0,0,16,27,6
Kurtis MacDermid,COL,D,44,1,5,6,0.14,33.1,0.8,0,0,20,86,31
Jake Bean,CLS,D,14,1,5,6,0.43,20.9,1.4,1,0,16,13,21
Filip Roos,CHI,D,17,1,2,3,0.18,17.3,1.0,0,0,19,14,20
Erik Gudbranson,CLS,D,70,1,12,13,0.19,104.6,1.5,0,0,102,119,137
Tim Berni,CLS,D,59,1,2,3,0.05,59.0,1.0,0,0,58,122,74
Tanner Pearson,MON,F,14,1,4,5,0.36,11.7,0.8,1,0,17,20,3
Zach Bogosian,MIN,D,46,1,4,5,0.11,47.8,1.0,0,0,54,114,50
Nicolas Petan,MIN,F,10,1,2,3,0.3,7.9,0.7,0,0,10,4,5
Aleksi Heponiemi,FLA,F,10,1,2,3,0.3,5.3,0.5,0,0,6,2,1
Niko Mikkola,FLA,D,81,1,5,6,0.07,81.3,1.0,0,0,62,151,106
Matt Kiersted,FLA,D,20,1,3,4,0.2,11.2,0.6,0,0,14,13,7
Brayden McNabb,VGK,D,82,1,16,17,0.21,146.5,1.8,0,2,89,201,197
Philip Broberg,EDM,D,46,1,7,8,0.17,32.5,0.7,0,0,32,28,35
Cody Ceci,EDM,D,80,1,14,15,0.19,93.7,1.2,0,0,88,139,110
Fredrik Olofsson,COL,F,28,1,3,4,0.14,15.6,0.5,0,0,34,32,8
Mark Friedman,VAN,D,23,1,2,3,0.13,23.8,1.0,0,0,36,52,22
Guillaume Brisebois,VAN,D,17,1,2,3,0.18,20.1,1.2,0,0,15,11,27
Logan Stanley,WPG,D,19,1,2,3,0.16,19.5,1.0,0,0,11,44,20
Parker Kelly,OTT,F,55,1,3,4,0.07,41.1,0.7,0,1,59,172,25
Chad Ruhwedel,PIT,D,47,1,4,5,0.11,44.1,0.9,0,0,36,90,51
Marcus Pettersson,PIT,D,68,1,23,24,0.35,113.4,1.7,0,0,96,133,131
Ben Harpur,NYR,D,42,1,5,6,0.14,45.2,1.1,0,0,34,63,57
Ryan Lindgren,NYR,D,63,1,17,18,0.29,80.3,1.3,0,2,75,68,92
Brian Dumoulin,SEA,D,82,1,24,25,0.3,118.5,1.4,0,2,82,123,142
Devin Shore,SEA,F,47,1,8,9,0.19,29.9,0.6,0,0,33,46,24
Ryan Carpenter,SJ,F,22,1,2,3,0.14,14.7,0.6,0,0,17,35,11
Matt Benning,SJ,D,77,1,23,24,0.31,104.5,1.4,1,1,58,102,125
Jacob MacDonald,SJ,D,58,1,7,8,0.14,45.4,0.8,1,0,75,69,43
Marc-Edouard Vlasic,SJ,D,78,1,17,18,0.23,88.2,1.1,0,0,67,45,116
Givani Smith,SJ,F,36,1,3,4,0.11,18.7,0.5,0,0,30,67,8
Radim Simek,SJ,D,44,1,2,3,0.07,53.8,1.2,0,0,39,89,74
Tyler Myers,VAN,D,78,1,16,17,0.22,109.8,1.4,0,1,100,93,144
Philippe Myers,TB,D,11,1,2,3,0.27,12.2,1.1,0,0,21,31,6
Darren Raddysh,TB,D,17,1,2,3,0.18,17.0,1.0,0,0,25,25,16
Tyler Tucker,STL,D,26,1,3,4,0.15,25.1,1.0,0,0,21,50,26
Egor Zamula,PHI,D,14,0,4,4,0.29,12.2,0.9,0,0,8,9,13
David Gustafsson,WPG,F,46,0,6,6,0.13,22.5,0.5,0,1,45,25,18
Alexander Alexeyev,WAS,D,32,0,5,5,0.16,35.1,1.1,0,0,28,33,48
Christian Wolanin,VAN,D,16,0,3,3,0.19,11.0,0.7,1,0,16,4,11
Nick Cicek,VAN,D,16,0,4,4,0.25,17.6,1.1,0,0,3,28,21
Vincent Desharnais,EDM,D,36,0,5,5,0.14,35.7,1.0,0,1,17,45,48
Casey Fitzgerald,FLA,D,27,0,3,3,0.11,13.8,0.5,0,0,13,35,12
Andreas Englund,LA,D,47,0,4,4,0.09,36.9,0.8,0,0,31,133,33
Grigori Denisenko,VGK,F,18,0,3,3,0.17,10.6,0.6,0,0,16,20,8
Chris Wideman,MON,D,46,0,6,6,0.13,38.1,0.8,2,0,31,25,51
Brendan Smith,NJ,D,60,0,5,5,0.08,59.5,1.0,0,1,58,102,76
Jake Christiansen,CLS,D,24,0,4,4,0.17,20.5,0.8,1,0,25,20,23
Dylan Coghlan,CAR,D,17,0,3,3,0.18,11.5,0.6,0,0,29,11,9
Erik Johnson,BUF,D,63,0,8,8,0.13,81.4,1.3,0,1,98,121,102
Kale Clague,BUF,D,33,0,4,4,0.12,20.8,0.6,0,0,24,24,24
Victor Soderstrom,ARI,D,30,0,9,9,0.3,34.8,1.1,3,0,31,17,39
Colton White,ANH,D,46,0,6,6,0.13,30.9,0.7,0,0,30,34,37
Jesper Froden,FA,F,14,0,4,4,0.29,9.1,0.6,0,0,10,11,6
Andreas Johnsson,FA,F,13,0,3,3,0.23,8.0,0.6,0,0,18,7,5
Ryan Murray,FA,D,13,0,3,3,0.23,10.9,0.8,0,0,8,11,12
Nathan Beaulieu,FA,D,52,0,4,4,0.08,52.2,1.0,0,0,33,49,80
Patrik Nemeth,FA,D,75,0,5,5,0.07,81.8,1.1,0,0,62,116,118
